Game_Start,Game_End,Latitude,Longitude,Team,Sport,h3_res_4,h3_res_6,h3_res_7,h3_res_8,census_tract
2018-04-22 13:00:00,2018-04-22 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-23 19:00:00,2018-04-23 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-24 16:00:00,2018-04-24 19:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-25 13:00:00,2018-04-25 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-03 19:00:00,2018-05-03 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-04 19:00:00,2018-05-04 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-05 18:00:00,2018-05-05 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-06 13:00:00,2018-05-06 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-08 19:00:00,2018-05-08 23:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-09 13:00:00,2018-05-09 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-17 19:00:00,2018-05-17 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-18 19:00:00,2018-05-18 23:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-19 18:00:00,2018-05-19 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-20 13:00:00,2018-05-20 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-21 19:00:00,2018-05-21 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-22 19:00:00,2018-05-22 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-23 19:00:00,2018-05-23 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-24 13:00:00,2018-05-24 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-01 19:00:00,2018-06-01 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-02 13:00:00,2018-06-02 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-03 13:00:00,2018-06-03 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-11 19:00:00,2018-06-11 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-12 19:00:00,2018-06-12 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-13 19:00:00,2018-06-13 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-14 13:00:00,2018-06-14 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-15 19:00:00,2018-06-15 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-16 13:00:00,2018-06-16 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-17 13:00:00,2018-06-17 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-21 19:00:00,2018-06-21 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-22 15:00:00,2018-06-22 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-22 15:00:00,2018-06-22 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-23 13:00:00,2018-06-23 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-24 13:00:00,2018-06-24 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-26 19:00:00,2018-06-26 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-27 19:00:00,2018-06-27 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-28 13:00:00,2018-06-28 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
