id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
11205623631,41.9264809,-87.7027215,Federales,restaurant,842664dffffffff,862664ca7ffffff,882664ca1dfffff,17031220500
11218502457,41.9688992,-87.6788797,Falcon's Handcrafted Sandwiches,restaurant,842664dffffffff,862664d8fffffff,882664d8b9fffff,17031040402
11218702113,41.9742083,-87.8905711,Hub 51,bar,8427593ffffffff,86275934fffffff,88275934e9fffff,17031980000
11218702134,41.975196,-87.8914743,tocco,restaurant,8427593ffffffff,86275934fffffff,88275934e9fffff,17031980000
11221659145,41.9324567,-87.6583506,Herb & Alchemy,cafe,842664dffffffff,862664c17ffffff,882664c129fffff,17031070400
11221659146,41.9324645,-87.6579918,Los 3 Panchos,restaurant,842664dffffffff,862664c17ffffff,882664c129fffff,17031070400
11224180347,41.8695171,-87.6324088,Nando's,restaurant,842664dffffffff,862664c1fffffff,882664c1a3fffff,17031839000
11225152655,41.8912543,-87.6568165,Jordyn's Soul Cafe,restaurant,842664dffffffff,862664cafffffff,882664cad1fffff,17031243500
11225152656,41.8912304,-87.657647,Elina's,restaurant,842664dffffffff,862664cafffffff,882664cad1fffff,17031243400
11225152657,41.8908884,-87.6575643,Salerno's Pizza at Chicago,restaurant,842664dffffffff,862664cafffffff,882664cad1fffff,17031243400
11227872631,41.9521214,-87.6494585,Good Times Brewery,bar,842664dffffffff,862664c17ffffff,882664c169fffff,17031060800
11227975168,41.9470409,-87.6469373,La Biznaga Mexican Restaurant,restaurant,842664dffffffff,862664c17ffffff,882664c16bfffff,17031061800
11227979860,41.9438979,-87.6453342,Kim’s Korean Cuisine,restaurant,842664dffffffff,862664c17ffffff,882664c16bfffff,17031062000
11232689033,41.9489135,-87.649384,Big Mini Putt Club,bar,842664dffffffff,862664c17ffffff,882664c16bfffff,17031060900
11232724582,41.9496173,-87.6493939,Amore Sushi House,restaurant,842664dffffffff,862664c17ffffff,882664c16bfffff,17031060900
11232724659,41.9494321,-87.6493994,Buzzed by Zea,bar,842664dffffffff,862664c17ffffff,882664c16bfffff,17031060900
11234357884,41.9530355,-87.6546765,PR Italian Bistro,restaurant,842664dffffffff,862664c17ffffff,882664c169fffff,17031832100
11242025634,41.9579567,-87.6529555,Siam Noodle & Rice,restaurant,842664dffffffff,862664c17ffffff,882664c169fffff,17031032100
11242070859,41.958646,-87.6533339,Hunan Egg Roll King,restaurant,842664dffffffff,862664c17ffffff,882664c169fffff,17031032100
11242080803,41.9621297,-87.655154,Ragadan,restaurant,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11242099604,41.9630273,-87.6557385,Nigerian Kitchen,restaurant,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11242106149,41.9625455,-87.6554232,Kimchi Pop,restaurant,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11242106150,41.9626094,-87.6554688,Taqueria Diamante,restaurant,842664dffffffff,862664d8fffffff,882664d897fffff,17031830700
11244718138,41.9360628,-87.6444078,Musashiya Ramen,restaurant,842664dffffffff,862664c17ffffff,882664c10dfffff,17031063400
11244730144,41.9358523,-87.64442,Red Pig Asian Kitchen,restaurant,842664dffffffff,862664c17ffffff,882664c10dfffff,17031063400
11244730145,41.9358092,-87.64442,Nancy’s Stuffed Pizza,restaurant,842664dffffffff,862664c17ffffff,882664c10dfffff,17031063400
11244730146,41.9356999,-87.6444233,Cesar’s Killer Margaritas,bar,842664dffffffff,862664c17ffffff,882664c10dfffff,17031063400
11244735886,41.9338612,-87.6443402,Comfort African Cuisine,restaurant,842664dffffffff,862664c17ffffff,882664c105fffff,17031063301
11244735887,41.9337864,-87.6443848,Farm & Sea,restaurant,842664dffffffff,862664c17ffffff,882664c105fffff,17031063301
11244735888,41.9337302,-87.6444181,Barrel,bar,842664dffffffff,862664c17ffffff,882664c105fffff,17031063301
11244735889,41.9336718,-87.6444498,Renaldi’s Pizza Pub,restaurant,842664dffffffff,862664c17ffffff,882664c105fffff,17031063301
11244741140,41.9350033,-87.6440701,Yummy Yummy Asian Cuisine,restaurant,842664dffffffff,862664c17ffffff,882664c10dfffff,17031063301
11244826026,41.9759685,-87.9044361,Connect to Chicago,bar,8427593ffffffff,86275934fffffff,88275934edfffff,17031980000
11244979497,41.9289805,-87.6487489,Bacci Pizzeria,restaurant,842664dffffffff,862664c17ffffff,882664c105fffff,17031070200
11248703718,41.8781151,-87.6255469,Roti Mediterranean,restaurant,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031320400
11248703719,41.8783753,-87.6257048,IDOF,restaurant,842664dffffffff,862664c1fffffff,882664c1a9fffff,17031320400
11251980141,41.7998609,-87.5912337,Red Snapper,restaurant,842664dffffffff,862664cc7ffffff,882664ce37fffff,17031410800
11252132584,41.9327217,-87.6591781,Vigo Coffee,cafe,842664dffffffff,862664c17ffffff,882664c129fffff,17031062800
11257110620,41.9353279,-87.6699776,Starbucks,cafe,842664dffffffff,862664c17ffffff,882664c12dfffff,17031062600
11257222882,41.9328517,-87.6680464,Jet's Pizza,restaurant,842664dffffffff,862664c17ffffff,882664c12dfffff,17031062700
11258862533,41.9467037,-87.6496002,Diva,restaurant,842664dffffffff,862664c17ffffff,882664c16bfffff,17031832000
11261582489,41.8884921,-87.627433,Mojo Coffee,cafe,842664dffffffff,862664c1fffffff,882664c1e7fffff,17031081500
11263065225,41.9835337,-87.6590207,Palma Torcida Restaurant,restaurant,842664dffffffff,862664d8fffffff,882664d88bfffff,17031030701
11270637285,41.8958677,-87.6699886,Chicago Empanada Mama,restaurant,842664dffffffff,862664cafffffff,882664cac3fffff,17031243200
11270637286,41.8958723,-87.6691792,,restaurant,842664dffffffff,862664cafffffff,882664cad5fffff,17031243200
11272330041,41.8958053,-87.6699734,Chicago Empanada Mama,cafe,842664dffffffff,862664cafffffff,882664cac3fffff,17031243200
11272453376,41.8841335,-87.6503344,The Goddess and Grocer,cafe,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453377,41.8839497,-87.6499577,Tacombi,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453381,41.8838089,-87.6491942,Trivoli Tavern,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453387,41.8841385,-87.6490686,Bandit,bar,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453390,41.8846357,-87.6489804,HIDE+SEEK,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453391,41.8846341,-87.6492328,Gino & Marty's,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453392,41.8846575,-87.6472144,KOMO,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031280100
11272453394,41.8845911,-87.6515868,Texan Taco Bar,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
11272453397,41.8857881,-87.6515664,Gaijin,restaurant,842664dffffffff,862664cafffffff,882664cad3fffff,17031833000
